Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
,0.609754962,0.563353406,0.49559284,0.78776677,#VALUE!,-0.180707865,0.744677789,0.412185359,0.321928095,0.132905812,0.268434394,0.265076777
Sac1,-1.088162718,#VALUE!,-1.346077835,-1.286093074,#VALUE!,-0.172701252,-1.022038736,-0.658515157,-1.54035855,-1.802134609,-1.684132394,-1.969056599
Paf-AHalpha,-0.72272934,-1.21742369,-0.039814527,-0.126596247,#VALUE!,-0.170897345,-0.966094272,-0.89073306,-0.105923415,-0.261344557,#VALUE!,0.208017755
,-0.246463921,-1.43000347,-0.179792439,-0.498117605,#VALUE!,-0.169468821,-1.019258102,-0.842128433,-0.169063249,-0.839028196,-0.206179011,-0.176169134
GstD2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.158525975,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.229737574
Ppt1,-0.24821067,-0.48227078,0.204265945,#VALUE!,-0.245728179,-0.156916614,-0.228689079,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.81502154
Sgt1,-0.293235187,#VALUE!,#VALUE!,#VALUE!,-0.459813983,-0.076904078,-0.659813764,-0.848920527,0.021195425,-0.313979144,#VALUE!,-0.349474378
Arpc3A,-0.702139492,-0.69119647,-0.269181824,-0.067953951,#VALUE!,-0.066941083,-0.992689662,-0.870914852,1.37133582,-0.141080066,-0.074471432,0.200504353
Cpr60D,#VALUE!,#VALUE!,#VALUE!,0.623585972,-0.147905253,-0.066623763,#VALUE!,#VALUE!,0.271784214,0.267595722,#VALUE!,-0.270730032
parvin,-0.040304021,0.225768496,#VALUE!,-0.197302187,-0.063786099,-0.03179863,#VALUE!,-0.715651703,-0.712716846,-0.439480678,#VALUE!,-0.299063193
larp,-1.159782524,-0.617078258,-0.675120287,0.761455493,-0.189203207,-0.028410464,#VALUE!,-1.053883024,-0.580223825,-0.55245254,#VALUE!,0.528871328
Irp-1A,-2.004624027,-0.681654233,#VALUE!,#VALUE!,#VALUE!,-0.011297138,-2.444812094,-1.70505289,-1.849492313,-1.9761911,1.640667197,-1.128314032
,#VALUE!,#VALUE!,0.015782997,#VALUE!,-0.362436121,0.013355059,-0.147793366,-0.422249736,#VALUE!,0.25592366,#VALUE!,-0.225059061
Hmu,-0.473550527,-0.913977178,0.066123642,#VALUE!,#VALUE!,0.01948843,-0.033038034,-0.718402631,0.10634832,0.220825216,-0.453142572,-0.498647483
CG4603,-0.762411809,-0.834518925,-0.695091834,0.011781859,#VALUE!,0.021337583,0.246833688,-1.009640488,#VALUE!,#VALUE!,0.082021269,0.488823464
,-0.147585599,#VALUE!,-0.168382143,0.19761381,#VALUE!,0.054084393,#VALUE!,-0.421399364,#VALUE!,-0.189186758,-0.46783268,-0.254358211
scramb2,-0.473250076,-0.933738558,-0.141048249,-0.228266514,#VALUE!,0.089498151,#VALUE!,0.010493419,1.169411952,#VALUE!,-0.340988829,-0.318289881
Mgstl,#VALUE!,#VALUE!,#VALUE!,-0.313548777,#VALUE!,0.109427427,0.282261867,0.084200362,-0.031562674,0.067914014,-0.176690851,-0.340367663
CG2061,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.112499976,#VALUE!,-1.154827126,#VALUE!,#VALUE!,#VALUE!,-0.073195934
,-0.594051194,0.797428082,-0.471408679,0.089498151,-0.390415222,0.142217362,-0.109296505,-0.501116018,-0.111928948,-0.383887008,#VALUE!,-0.461223476
mRpS7,-0.715793864,-2.493215283,#VALUE!,0.051859299,#VALUE!,0.154323965,-1.486650752,-1.476779313,-0.928594274,-0.620245975,1.032171389,0.027861775
inaF-B,#VALUE!,0.507921465,-0.161685539,#VALUE!,#VALUE!,0.170566057,0.144176924,0.103262627,-0.217339824,#VALUE!,0.428571222,-0.732260471
CG3246-RA,-0.247765219,#VALUE!,0.046700587,#VALUE!,#VALUE!,0.201884743,-0.020647749,-0.005956182,0.083519749,-0.134477041,-0.543509228,-0.476699007
,0.44456106,0.557385581,#VALUE!,#VALUE!,#VALUE!,0.207767938,0.519239949,0.376068071,0.007482576,0.071076162,0.076559095,-0.036703449
CG30491;CG30495,-0.79263186,0.71114245,-1.161233749,#VALUE!,#VALUE!,0.211012193,#VALUE!,#VALUE!,#VALUE!,-0.064087713,0.30287467,-0.534621015
,-0.839828452,#VALUE!,-0.171059767,-0.30281334,#VALUE!,0.244521774,-0.693201152,-0.752971794,-0.375028837,-0.424920068,0.081748651,-0.09320174
nrv2,#VALUE!,#VALUE!,#VALUE!,0.202135581,-0.08882232,0.253989266,0.712639798,#VALUE!,0.456806149,#VALUE!,#VALUE!,0.201257457
,0.451751815,#VALUE!,-0.349474378,-0.166729367,#VALUE!,0.272620455,-1.1727663,#VALUE!,-0.644329652,#VALUE!,-0.50860864,0.160016608
Nckx30C,0.534161233,#VALUE!,0.290542363,0.38084025,#VALUE!,0.290896181,0.189539944,0.155619721,0.353662045,0.578214165,0.291485686,-0.010294201
,#VALUE!,#VALUE!,#VALUE!,1.229772477,#VALUE!,0.297015288,0.85239842,0.929336534,#VALUE!,0.83293051,0.371503105,0.329755086
,-0.689264356,#VALUE!,-0.014747326,0.207767938,#VALUE!,0.33468268,-0.587099271,-0.648507354,0.159112461,#VALUE!,0.471135424,-0.300395067
HP1b,0.390557636,-0.11130545,1.015069322,0.62564456,0.348119084,0.337882322,0.12631213,0.097475959,0.538140809,0.556306784,#VALUE!,0.493134922
