Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
synj,-1.835419652,-1.461362515,-1.957243613,-1.847777634,-2.179841465,-2.7868705,-2.348500497,-2.518039803,-2.194360844,-2.143054137,-1.906007215,-1.94125405
,0.896930552,0.567837462,0.81991338,0.890641244,0.355805639,0.288417627,0.755742179,0.679333711,0.817623258,1.065779085,0.627980303,0.538935409
Cbs,-2.55384966,-0.862050621,#VALUE!,#VALUE!,-1.313943275,-2.195946441,-2.528906207,-2.329159664,-2.181149439,-1.736869418,-1.042129964,-1.228165117
ens,0.35918379,0.067501049,0.56832402,0.698040631,0.742523677,0.678252231,0.182692298,0.213253951,0.833983011,0.726918386,1.013998146,0.794103899
Tm1,0.539431811,0.417379976,0.809825996,0.84020136,0.765959006,0.749233898,0.466757616,0.512783121,0.986301705,0.962660066,1.037382222,1.016638942
Pbgs,-2.144775692,#VALUE!,-0.876095471,-1.720564364,-1.245163795,#VALUE!,-1.434012959,-1.202970416,0.229710962,-1.011442549,-0.974687657,-1.281175909
Cpr49Aa,1.749190983,1.331819848,1.699462794,1.5621325,1.173767068,1.24610401,1.443341426,1.68405568,1.446044443,1.262373019,1.444136957,1.342554745
fray,-0.89867265,-0.873317826,-1.03029507,-0.820896656,-1.30918066,-0.990452169,-0.53914213,-0.671485192,-0.659335194,-0.894992475,-1.039725546,-0.90257798
Snap25,0.352645545,0.258338011,-0.071633467,-0.251727704,-0.613785012,-0.658424071,0.305795461,0.523561956,-0.185096893,-0.207144648,-0.345161221,-0.417521071
,0.317998618,0.043764442,0.627513457,0.574343754,0.339023333,0.415001431,0.376623787,0.233765377,0.481505617,0.566474224,0.60757888,0.669933836
Gli,-0.856345365,0.112766845,0.073271836,-0.024545897,-0.492382933,-0.083798545,-0.431384123,-0.601605846,0.037030731,#VALUE!,-0.224907306,0.153156788
ogre,-0.728048499,1.199436784,-0.849726291,-1.060999155,-1.680520793,-1.276240502,-0.414210591,-0.507480212,-1.366689697,-1.247525418,-1.414037577,-1.75102805
Ilk,-1.298034052,-1.57565833,-1.311721152,0.112766845,-1.70566451,-1.596666826,-1.552621816,-1.896791096,-1.152035154,-1.492606199,-1.43932417,-1.574669609
rdgC,-1.336755587,-1.36650369,-1.820871171,-1.301906012,-2.027969116,-2.190865478,-1.563113263,-1.855849186,-1.904062081,-1.615021861,-1.762142633,-1.92253822
,-1.175892048,-1.016045101,-0.462097656,0.024603367,-0.810434754,-0.624866014,-0.719091183,-0.835599865,0.20451637,-0.209277999,-0.544939806,-0.404439053
CG6412,-2.052595665,-2.426470353,-1.247114423,-1.315019726,-1.154634403,-1.247833741,-2.007811664,-1.477904065,-1.283632397,-1.060337106,-0.892151468,-1.004768766
Mf,1.929525911,1.749190983,1.113033665,1.166072676,1.140516919,0.993638135,1.870700076,2.031289319,1.333767192,1.364628458,1.402994975,1.312084262
Lsp1gamma,0.911576545,0.764176276,2.990918566,3.11398381,2.633779926,2.75045644,-0.442928167,-0.560451326,2.891127507,2.929336534,2.895748547,3.045303168
Cpr62Bb,1.651269873,1.494057132,1.230817842,1.250173332,1.045722536,0.709643545,1.930775178,1.556601082,1.216920426,1.305853817,1.307661669,0.884793263
Gbeta76C,-0.158719219,-0.25317131,-0.985816127,-1.106311618,-1.415422269,-1.513666621,-0.170605032,-0.213035693,-1.006187987,-0.988418489,-1.154795004,-1.114160157
CLIP-190,-0.670704152,-0.106094211,-1.151938975,-0.651155727,-1.26600364,-1.406636667,-0.152500107,-0.046116463,-0.407593196,-1.647377052,-1.006101055,-1.279949231
Tm2,0.245982361,0.066674763,0.446679711,0.378511623,0.310340121,0.451857294,-0.010919138,0.192699178,0.555128994,0.752491709,0.569879906,0.63254742
Cka,-1.122836871,-1.026175688,-0.499483455,-1.050562184,-1.104356136,-1.116003897,-1.06730382,-1.541701998,-0.81685018,-0.919233201,-0.845598257,-0.593593946
Syt1,#VALUE!,-0.139267575,-0.068891867,0.002882509,-0.469869313,-0.50704959,#VALUE!,-0.174507418,#VALUE!,0.005184376,-0.211498031,-0.242993827
Strn-Mlck,-1.968943637,-2.249890914,-2.361861272,-2.637917313,-2.154441705,-2.331481443,-1.630795975,-1.591049068,-1.922975815,-1.846064989,-1.896952276,-1.556647964
lark,-1.682510686,-1.418465565,-0.826002733,-0.458961016,-0.923030524,-0.515851555,-1.000461736,-1.691522623,-0.729602625,-0.588378516,-0.665980991,-0.86016382
Pros28.1,-0.733723177,-1.064344134,0.061015775,0.282617721,0.10191896,0.339023333,-1.184031162,-0.816062565,0.261350279,0.129085148,0.358958826,0.36982938
,-0.259875479,-0.624576828,0.166586914,0.375845725,-0.242515848,-0.010061736,-0.45818783,-0.404534532,0.119156942,0.247441471,0.012783185,0.392757034
Rab11,0.799336025,0.884636991,1.29495887,1.332335577,0.884636991,1.059355278,0.995882449,0.992260861,1.142609487,1.264716569,1.138879985,1.221382181
ND23,-0.306466208,-0.27064301,-0.676042019,-0.444026825,-0.560749219,-0.463708329,0.268793675,0.135928816,-0.114175772,-0.383341185,-0.30678739,-0.408492913
,-0.643946361,-0.879860431,0.430178204,0.449534963,0.31556623,0.309292623,-0.577594748,-0.57832696,0.574343754,0.645056013,0.569102173,0.703986604
Ras85D,-0.12107852,-0.190849011,0.153027043,0.218719182,0.117030053,-0.183506784,-0.111663929,-0.215110791,0.415434186,0.196355243,0.369941022,0.241107975
GstE2,#VALUE!,0.172487516,0.217727042,-0.30115923,-0.313333642,-0.07975244,0.201884743,0.30987466,-0.189219655,-0.30766208,-0.0604725,-0.138949829
veli,1.759667186,1.305620381,1.213627239,1.176769556,0.832525498,0.874442887,1.384768212,1.515460158,1.098352178,1.13066734,1.084540548,1.134286665
,1.036468167,1.060808317,0.738811063,0.579759427,0.477262849,0.55522718,1.172295485,1.505789328,0.648465443,0.767654798,0.729182941,0.534161233
nrv1,0.751120896,0.46550437,0.060324133,0.278222698,-0.046220735,0.006477564,0.532865503,0.602361857,0.251082803,0.435308552,0.205392513,0.218223197
ico,-2.203435469,-2.282579104,-0.990538162,-0.014674452,-1.746470534,-1.921444814,-1.817358547,-2.223980259,-1.873449973,-1.97120456,-1.495572827,0.130271955
Snap24,0.671565126,0.709643545,0.565402204,0.684639231,0.312200463,0.398240905,0.507515586,0.586308388,0.492929907,0.517225293,0.563060483,0.614380048
CG9132,0.223916751,0.095046725,0.008200014,0.198368423,-0.297590684,-0.033525234,0.31973353,0.229710962,0.148999163,0.13251104,-0.047412959,0.155749233
Cry,0.916247324,0.274291484,0.620398731,0.446891405,0.501617481,0.359071312,0.536251879,0.68670221,0.827168649,0.761200156,0.750263476,0.756083908
RhoGDI,0.89832446,0.6098495,0.913722387,0.862193478,0.602266827,0.966208952,0.578214165,0.739934489,1.092478087,1.056375432,0.850079296,0.958285901
I-2,0.338338835,0.091936738,0.009490503,0.162725653,-0.373159067,-0.210813296,0.372394965,0.23572706,0.030971642,0.088955682,-0.125667289,0.114900024
Men-b,-0.992144312,-0.884753632,-1.379544963,-1.263126741,-1.600905487,-1.788165424,-0.820845687,-0.973412378,-1.18376895,-1.315342817,-1.353616116,-1.353026343
,0.60302689,0.372283513,-0.31767841,-0.459080005,-0.58290092,-0.574003679,0.438612232,0.49036475,-0.250457151,-0.23207406,-0.337448113,-0.349290577
Nap1,-0.29228086,-0.740552743,0.078063256,0.098419558,-0.409220753,-0.482149863,-0.434617295,-0.319567614,-0.039710716,-0.067757369,-0.164237581,-0.390112687
,0.500292177,0.172103428,1.376345956,1.334568276,1.424707146,1.555079898,0.099227866,0.424814621,1.624475268,1.606205313,1.669253587,1.794228694
CoIV,0.5290713,-0.003611254,-0.339454668,-0.316977335,-0.520541772,-0.273587269,0.572598675,0.496002086,-0.167620335,-0.1857203,-0.276030859,-0.184949283
,-0.419796616,-0.355959157,0.60473557,0.814837498,0.258579224,0.492212122,-0.359823331,-0.260462931,0.597125899,0.512580879,0.503043371,0.537842721
,0.152507948,-0.268260646,-0.007492583,0.051302489,-0.207011418,0.153545952,-0.187460702,-0.273412885,0.099227866,0.021337583,0.036749476,0.261951979
cype,0.496206666,0.417271945,-0.24771383,-0.305289153,-0.374729511,-0.326099903,0.330787836,0.669389662,0.015497569,-0.105504272,-0.131313235,-0.103425885
fau,-0.509799575,-0.759526907,0.296662968,0.308943288,0.110496882,-0.07497283,-0.796986829,-0.692571475,0.308360875,0.34619103,0.353436218,0.452595435
,1.645056013,1.146850696,0.649017565,0.603976406,0.588996402,0.608903843,1.397474417,1.402831302,0.732486293,0.73239946,0.831309778,0.638027485
,-1.683298145,-1.480156203,-0.416461661,-0.108736368,-0.651314331,-0.433194586,-1.379882835,-1.301799305,-0.234787774,-0.416885332,-0.409316549,-0.46994924
Vap-33-1,-0.416981638,-0.779670045,-0.46211753,-0.400929819,-0.823166629,-0.88904884,-0.70726536,-0.80112872,-0.518825078,-0.414152918,-0.582728055,-0.571535974
,-1.168933489,-1.312186797,-0.48895709,-0.483823442,-0.621399598,-0.623976395,-1.294313983,-1.419700122,-0.533576477,-0.454407176,-0.381479412,-0.689427205
beta-Spec,-1.909742736,-2.084792721,-1.997002311,-1.909038202,-2.413883805,-2.34805971,-2.120733382,-2.064313965,-1.923194662,-2.038361856,-2.174360888,-2.141652905
GstE9,#VALUE!,0.474981088,-1.141748401,-0.962856783,-0.736532851,-0.546097929,#VALUE!,#VALUE!,-0.856319246,-0.821890924,-0.497587921,0.317767139
cry,#VALUE!,#VALUE!,-2.043764881,-2.222296245,-2.230126726,#VALUE!,-1.066941083,#VALUE!,-1.549240069,-0.766823649,-1.991943445,#VALUE!
RFeSP,0.779890039,0.600079412,0.146655222,-0.051997285,-0.15508413,-0.488309324,0.90681365,0.8623522,0.241840184,0.323197108,0.082975027,-0.061992798
,-1.349308956,-1.521266292,0.856149102,0.788184543,0.865602139,0.77483976,-1.310897686,-1.003177426,0.910579176,0.826355268,1.103464069,0.995014096
Pka-R2,0.469469253,0.366140336,0.267236142,0.298892881,-0.157882015,-0.176902853,0.247927513,0.201006466,0.245617353,0.250597823,0.079429315,0.203764966
dod,0.1264443,-0.094849382,0.530570204,0.429964044,0.318577154,0.374733478,0.267116262,0.182819402,0.534260856,0.485632912,0.555718009,0.592540756
,-0.355276146,-0.656671777,0.925239905,1.081135072,0.783330924,0.889473543,-0.316402348,-0.481384294,1.137110008,0.812949959,1.020057652,1.209952374
lap,-0.546624656,-0.298246918,-0.698365532,-0.527782597,-0.936938908,-1.012344424,-0.448331415,-0.355276146,-0.697593205,-0.404038111,-0.700427095,-0.653854367
Gapdh1,0.28534303,0.319386715,0.150689643,0.008773707,0.071488106,0.125651102,0.588804567,0.762391341,0.370164281,0.349704962,0.307661669,0.246590503
,-0.266246533,-0.227827178,-0.852641196,-0.730152948,-0.816138767,-0.80112872,-0.333825147,-0.548649077,-0.461978419,-0.51230786,-0.580482682,-0.763856426
Act5C,-1.296757519,-1.931810741,-1.078594138,-1.011849777,-1.227320418,-1.506393652,-1.887793637,-1.70726536,-1.223104327,-1.164399255,-0.993723522,-1.309860072
par-1,-1.636212159,-1.291309509,-0.810156469,-0.801530992,-1.059404734,-0.74974176,-1.180462605,-1.010686572,-0.603730888,-0.873027144,-0.827077309,-0.796209981
PGRP-SD,-0.055051623,-0.680127767,-1.108394169,-0.912591473,-1.21561328,-0.841999124,0.46571332,0.301938767,-1.432532433,#VALUE!,-0.983988701,-1.595489205
babos,0.382169209,0.449746239,1.200441577,1.487897901,1.15885403,1.600650362,0.793105148,0.798838544,1.154648013,1.502585202,1.390062309,1.271126827
nrm,0.066950244,-0.059900921,0.495183478,0.516519498,0.328147114,0.442333123,0.145481822,-0.073332541,0.349478515,0.330902541,0.55875743,0.31254901
alpha-Spec,-1.938928908,-1.932251158,-1.82413692,-1.71833142,-2.111726282,-2.23371864,-1.933407892,-1.968604804,-1.88438074,-1.862234192,-1.881188464,-1.891535761
ATPsyn-Cf6,1.519592224,1.370164281,1.223175386,1.157496503,1.243181602,0.995810106,1.809620235,1.933006024,1.080657663,1.359071312,1.473579128,1.338338835
Tm1,0.633105666,0.304511042,1.049073097,0.929866728,0.837135914,0.811306611,0.499067738,0.344146748,0.966356633,1.053945425,1.067432209,0.943058639
,-0.954277464,-1.296438562,-0.826949342,-0.817053505,-0.753312218,-0.671783936,-1.049068803,-1.02406172,-0.626424169,-0.495898308,-0.524002045,-0.506106773
Tep4,-1.781553589,-1.72203905,-2.534913621,-2.419352796,-2.953774384,-3.138600389,-2.656808243,-1.993149064,-2.387071954,-2.286515327,-2.725374542,-2.771815465
Sod3,-0.374673394,-1.129639226,0.899871669,0.174278571,0.446573853,0.199750857,-0.818681141,-0.945359869,0.108758614,0.742868551,0.674370254,0.163627539
Hsc70-3,0.1264443,-0.104356136,0.682483407,0.663116867,0.442439294,0.524866065,-0.10654459,-0.097378397,0.661840791,0.646992084,0.670205846,0.68014429
,1.330214177,1.107152199,1.601553904,0.946581156,0.765619608,1.192636061,1.421802281,1.347722343,1.245495663,0.954419678,0.992188336,1.065985829
Klc,-1.350559284,-1.728622136,-0.705358668,-0.93577934,-1.038806396,-1.138536863,-1.583895301,-1.336281945,-0.792057186,-0.808437349,-0.812409592,-1.112318771
Cnx99A,-0.154489877,-0.43684187,0.113700499,0.187894405,-0.207311202,-0.175386911,-0.281175909,-0.128550584,0.178364082,0.068877141,0.018776585,0.070938821
bor,0.409255147,0.29172142,-0.003799286,0.108758614,-0.169306579,-0.158799745,0.44105847,0.396378727,0.218223197,0.183962835,0.056444801,0.076832696
,1.333595473,1.007195501,0.456070161,0.604261139,0.357833479,0.466131129,1.108290261,1.147697444,0.502534286,0.643671513,0.583422805,0.39583057
Tom70,-1.961339073,-1.362825665,-1.141366457,-1.262745896,-0.810535962,-0.974347472,-2.150913469,-1.833361672,-1.435260898,-1.361453453,-0.585431453,-1.412692622
,0.98848474,0.655809754,1.166265537,1.036819795,0.960289284,0.877116001,-0.965587055,0.908889747,1.027791019,1.247806018,1.18516881,1.400046018
,0.09071796,-0.011326219,0.097880434,0.28557977,-0.282158002,-0.429167942,0.196481149,0.238909117,0.10701825,0.051720116,-0.058007305,-0.077345434
Argk,0.180657108,0.06942721,-0.038406304,-0.026675272,-0.328507336,-0.362899876,0.067501049,0.198116929,0.048933645,0.076148597,-0.10493009,-0.187427845
Tim14,0.377068206,#VALUE!,0.624054091,1.073751695,0.903192561,0.865918815,0.876251712,0.895767932,0.971515964,1.131523636,1.126246041,1.63747114
Cpr66D,0.176067406,0.162210036,1.718350665,1.489748433,1.708805244,1.767273419,0.147306699,0.140647793,1.591296434,1.699107385,1.931569603,2.012068023
betaCop,-1.797613625,-2.770141405,-1.915881295,-1.92423464,-2.170718702,-1.863126153,-1.89174989,-2.557157331,-1.471848799,-1.737927712,-1.948085032,-1.56068538
,-0.862286645,-0.582339182,-0.148976611,0.038717108,-0.574712583,#VALUE!,-0.896361371,-0.699700526,0.049909522,0.055334502,-0.352326301,-0.286726499
Nrx-IV,-1.41858126,-1.471568707,-1.128282494,-0.951289505,-1.325286266,-1.254530306,-1.555757006,-1.338651711,-1.162751033,-1.211330992,-1.103332893,-0.965361682
P32,0.655443425,0.683741362,0.43103453,0.387803665,0.123003954,0.131194352,0.575699579,0.703012079,0.562279064,0.481195593,0.344714894,0.381726359
CG10083,-0.539100203,-1.034514904,0.323773564,0.284395681,-0.067621289,0.181038924,-0.727785659,-0.669739922,0.178873958,0.285106251,0.152897287,0.16748639
Pka-C1,-0.227337308,-0.702303802,-0.550866545,-0.418735534,-0.877473049,-0.845598257,-0.508054574,-0.468191877,-0.59957137,-0.546793249,-0.657217718,-0.624443377
2-Sep,-0.382156142,-0.831537671,-0.496183165,-0.441340516,-0.657741106,-0.566655925,-0.972704376,-0.679064821,-0.19060202,-0.302777748,-0.438189991,-0.365406732
CG6564,-0.104108011,-0.387430465,0.163498732,0.364124147,0.354452161,0.398240905,-0.127021562,-0.050965662,0.47342327,0.433173124,0.573374526,0.587172939
,0.424169649,-0.191705571,0.146003451,0.108357178,0.294900072,0.357495703,0.364684482,0.406971971,0.499884146,0.919378223,0.513793907,0.30287467
Gad1,-0.491774201,-0.572436733,-0.896495646,-1.009553348,-1.436431822,-1.467094611,-0.557879241,-0.607199012,-1.093324863,-1.071390906,-1.217893426,-1.24834776
ran;Ran,-0.113020717,-0.014149868,0.304978236,0.332622014,0.31254901,0.339593501,-0.267374784,-0.236197527,0.266276823,0.262433158,0.530470325,0.422663592
CoVIb,1.5384885,1.100304906,0.702923453,0.57104572,0.445091015,0.613720228,1.460637732,1.439037963,0.863859179,0.773743199,0.662570116,0.581785075
Sirt2,-0.777467438,#VALUE!,-1.176087633,-1.235619872,-0.9471668,-0.365741308,#VALUE!,-0.834441746,-1.171303434,-1.515067896,-0.730440156,-1.537591633
endoA,-0.694975053,-1.152003093,-1.326769237,-1.020516041,-1.470608803,-1.508978135,-1.020135618,-0.804198875,-1.211264182,-1.197070628,-1.25494342,-1.241543307
,0.719752957,0.354226457,1.202762485,1.059562944,1.168513676,1.173958903,0.709025897,0.753347806,1.204453768,1.295135249,1.383939251,1.234256048
Rab3,0.582748671,0.136191386,-0.463648642,0.028286243,-0.646586367,-0.770313645,-0.116207165,0.22119655,-0.178502022,-0.571986283,-0.431423034,-0.495633849
inaD,-1.602175138,-1.63895036,-2.068785942,-2.110479731,-2.388582076,-1.972562817,-1.644532612,-1.895394957,-2.039844189,-2.219807505,-2.174165537,-2.075337592
D1,0.982947955,0.518736548,1.017494379,1.190741268,1.440261239,1.264116022,0.649201559,0.776609369,1.308652111,1.154259146,1.654664667,1.675951389
bt,-3.559638817,-3.758340393,-3.128471729,-3.089267338,-3.271321921,-3.296757519,-3.524848692,-3.522674971,-2.936994148,-2.809751786,-3.056971377,-3.073150401
Rm62,-0.79706203,-1.12973393,-0.210646336,-0.384470702,-0.588183303,-0.515830927,-1.10159814,-1.010831921,-0.212015973,-0.313889473,-0.37420584,-0.380258341
Cpr97Eb,0.925695661,0.656359073,1.647360565,1.622086971,2.011424075,1.952184443,0.730748629,0.735782099,1.592158002,1.611408481,2.225367486,2.433920884
Pur-alpha,0.92812393,0.473215434,0.4918018,0.499373945,0.403049529,0.300885149,0.5431989,0.595408178,0.44127099,0.574053054,0.616169466,0.705668325
,0.274768566,0.362441834,-0.049695835,-0.116363545,-0.24917057,-0.498056477,0.490775482,0.343009783,0.144568518,0.069289713,-0.036836644,-0.008929003
ctp,-0.587381041,-0.249667912,-0.55031714,-0.289827252,-0.358786939,-0.344574894,-0.404305393,#VALUE!,-0.334661809,-0.326244597,-0.146706915,-0.401615737
desat1,0.761966031,#VALUE!,-1.326913998,-1.16262184,-1.388091113,-1.215144285,#VALUE!,#VALUE!,-1.030324537,-1.30821573,-1.176087633,-1.323263205
Syb,1.020271053,0.769771739,1.079497584,1.298658316,0.762476388,0.953674984,1.194023996,1.040120917,0.935912287,1.132445234,0.973941836,0.741574847
Zw,-2.282298356,-1.564307406,-1.921499465,-1.70312563,-1.898780242,-1.225497555,-1.895072963,-1.827410079,-1.821380957,-2.131566084,-1.687892498,-1.441673582
CalpA,-0.898054155,-1.847933429,-0.450636403,-0.634889809,-1.622954011,-1.659357979,-0.915146552,-0.587597825,-0.571664619,1.249506021,-1.412078203,-1.036673852
rl,-0.898807141,-0.645931556,-0.642887205,0.636264989,-0.63838883,-0.557773055,-0.741493135,4.213347282,-0.439891594,-0.585236639,-0.427556545,-0.334534459
alphaCop,-1.991140259,-2.110355135,-2.357714317,-2.308072832,-2.483097314,-2.264928465,-2.276065797,-2.584154818,-2.013275984,-1.9770428,-2.272645846,-2.260359246
Idgf3,0.3035762,-0.257183175,0.535455799,0.540622481,-0.341738238,-0.410600828,0.321004474,0.167229454,0.693230456,0.744677789,-0.131376443,-0.089313382
Plc21C,-1.400606026,-2.113410835,-1.527907399,-1.897435924,-2.114909869,-0.656558065,-1.50074853,-2.481968507,-2.191985711,-1.241372754,-1.904548119,-1.482613431
Nc73EF,-1.973412378,-2.113660566,-2.668868078,-2.708679351,-2.925001419,-2.952657055,-1.914194664,-2.037887831,-2.475294377,-2.444340882,-2.714917429,-2.623976395
Rpn12,-1.574970452,-1.476096856,-0.301799305,-0.386713532,-0.295340473,-0.203917289,-1.543130784,-1.458663588,-0.307858512,-0.133242331,-0.085297719,-0.154297199
,0.473838853,0.19887128,-0.019872307,-0.050457597,-0.107305894,-0.149360574,0.097610797,0.153805336,0.10795563,-0.056671247,0.10259095,0.080657663
sec63,-1.494434221,-2.0971469,-1.586319272,-1.793606831,-1.153574884,-1.378831937,-1.582728055,-1.823728297,-1.088316087,-1.480437967,-0.944165758,-1.540526413
Rbp6,-0.654626335,-1.026351992,0.435841916,0.041803688,0.614568512,0.745968715,-0.847595893,-0.738023959,0.317535622,0.319502329,0.823830866,#VALUE!
Amph,0.417487999,0.266876472,0.53116933,0.563255771,0.608903843,0.53037044,0.364572432,0.327457434,0.631244004,0.700706037,0.818114304,0.667937528
Cys,1.445620775,1.262854058,1.27524549,1.163885117,1.313768262,1.169155359,1.419646753,1.887876154,1.351062899,1.25011268,1.522959662,1.364348307
Snx3,-0.224317298,#VALUE!,#VALUE!,0.358846331,0.168256923,0.379953597,-0.140873264,-0.100932672,0.402394751,0.388575307,0.377401431,0.148738913
Mlc-c,0.288417627,0.053806444,1.125915549,0.984334145,0.930169608,0.880724702,0.086647913,0.11209958,1.079770628,1.172487516,1.138290234,1.15263774
Ccp84Ae,-1.903198418,-1.768911717,1.448372395,0.992695932,0.14574266,#VALUE!,-1.827410079,-0.983532206,0.032383005,0.423847055,0.353774945,#VALUE!
rdgB,-1.606078643,-1.903198418,1.094776557,-1.608760192,-2.191128984,-2.159266884,-0.970921751,-1.800173776,-1.267565806,-1.961676204,-1.98318993,-1.723801135
CG12173,0.362105136,-0.244616723,0.115033243,0.036468167,-0.068120311,0.123003954,0.265796925,0.399335183,0.287590496,0.151599082,0.139469495,0.125254339
nst,-0.855614213,-1.35830601,-0.347215245,-0.397657149,-0.274703825,-0.079417046,-0.831691723,-1.216082427,-0.204864785,-0.276502599,-0.06750034,-0.068422833
lwr,-0.69240827,-1.104542259,-0.280299604,-0.397467105,-0.339874574,-0.624510101,-0.878958067,-1.312222623,-0.134382026,-0.253068147,-0.133368919,-0.006535764
CG30022;CG30023,0.46905241,-0.068937265,-0.275786313,0.012068023,-0.598172965,-0.552642977,0.957097397,0.308360875,-0.02895498,-0.235178291,-0.391928849,-0.15818786
,-0.268729852,-0.244343266,-0.553892018,-0.627137029,-0.500626055,-0.554591106,0.071076162,-0.111398958,-0.2094448,-0.208944455,-0.294384752,-0.331354374
TwdlT,0.719402512,0.559540759,1.733093981,1.768163147,1.341644241,1.523511774,0.279055216,0.241718175,1.469938058,1.669843154,1.547844628,1.033440622
,0.558659484,-0.080637033,0.774671112,1.141890509,0.973868385,1.351006344,0.383828687,0.301821736,0.925847548,1.020626651,1.179638435,1.291190964
CG6719,-0.473831005,-0.714301874,0.745538535,0.849278733,0.867659289,1.048724443,-0.166227428,-0.593920537,0.876723207,0.891496958,1.073203272,0.986592967
blw,0.248170473,0.060185765,-0.382870813,-0.356864183,-0.54856467,-0.74702733,0.204265945,0.370499103,-0.276240502,-0.266958096,-0.344080365,-0.54867018
Patj,-0.67915722,#VALUE!,-0.854387753,-1.003524478,-1.325213965,-1.271147811,-0.783240952,-0.432863471,-1.086262297,-1.030471878,-1.120953006,-1.003003931
kcc,-0.213955731,-1.065853419,-0.382626281,-0.482411862,-0.807805835,-0.127872571,-1.110417432,-1.346041159,-0.448587343,-0.336992466,-0.603862437,-0.168641574
,0.174022842,0.243912759,0.387913924,0.164400135,-0.252741514,0.093019233,-0.033613833,0.315913965,0.075190314,0.14912927,-0.049083729,0.008630305
Aats-lys,-1.513666621,-2.030855037,-1.263611599,-1.101226678,-1.633523906,-1.265032479,-1.594704658,-1.786970068,-0.851052884,-1.087580065,-1.430042344,-1.288311279
,0.853836004,0.625738062,0.361431504,0.279768422,0.352193538,0.294076649,0.797345071,0.891730247,0.600840628,0.556895319,0.555325359,0.348232419
,0.370164281,0.183200647,-0.001082427,0.09895848,-0.002266811,-0.137473227,0.241596155,0.046002047,-0.269060125,-0.010904601,0.200504353,-0.00505829
Gapdh2,0.486250989,0.287590496,0.027720258,0.022758398,-0.005159637,-0.202472311,0.403049529,0.646715661,0.217230716,0.209266193,0.197488002,0.184089827
,-0.513893205,-0.723110332,-0.015228388,-0.14130281,0.001874286,#VALUE!,-0.501953422,-0.434402824,0.257372756,0.16748639,0.204391163,0.105409894
Vha100-2,-1.408090842,-1.511567257,-1.53629385,-1.334680002,-1.673140555,-1.51230786,-1.638635876,-1.545192408,-1.519652145,-1.479230792,-1.471408679,-1.696797907
Tm1,2.295546717,1.750692249,0.909965067,0.901880564,1.023894043,1.066468117,2.183772326,2.146883272,1.461266608,1.320253597,1.22422554,1.496973581
Trxr-1,-0.954081801,-1.205696434,-0.815707009,-0.75491816,-1.187904348,-1.062414551,-1.041120214,-0.996397763,-0.7898356,-0.681654233,-0.988447112,-1.018819544
Imp,-1.54035855,-1.684642451,-0.675604123,#VALUE!,-1.187674292,#VALUE!,-1.576045406,-1.47421174,-0.62735987,-0.970836919,-0.988304001,-0.68315915
Stam,-0.465739144,-0.578887138,0.131457785,-0.132799359,-0.26169044,-0.152804813,-0.448882701,-0.467712967,0.200755432,0.037171338,-0.062384422,-0.033983056
sw;Sdic1;Sdic2;Sdic3,-0.594094749,-0.941835922,-0.494657805,-0.487459573,-1.17198592,-0.892901379,-1.401901632,-0.992488719,-0.082362024,-0.127100338,-0.97355402,-0.854205178
l(1)G0334,0.922730672,0.67238008,0.014640947,-0.097764308,-0.122758327,-0.189910672,0.861875984,0.811881996,0.041663532,0.079975377,0.074094354,0.11196609
ATPsyn-gamma,0.561203921,0.39154778,-0.102496234,-0.176006136,-0.400548894,-0.595511004,0.555030801,0.468322644,-0.129765499,-0.151955004,-0.203950524,-0.187066465
Act88F,-0.546413942,-0.791033334,-1.133843724,-1.117975241,-0.92423464,-1.009466214,-0.429964598,-0.460806441,-0.596361425,-0.599899317,-0.728000707,-0.817028088
Rpt3,-1.422017767,-1.684688829,-0.252140015,-0.065913824,-0.105209394,0.10755397,-1.464106302,-1.571021506,0.042924445,0.003890027,0.09071796,0.058939855
SdhB,0.454491777,0.042364175,-0.381535794,-0.379038303,-0.528947839,-0.363809268,0.61786266,0.53126916,0.072723231,0.038436182,-0.333297936,-0.288187956
Ndg,-1.680197117,-1.922757001,-1.11397279,-1.091294674,-1.095419565,-0.850766653,-1.470249004,-1.521639044,-1.053523645,-0.729483018,-0.90009889,-0.76410142
Ude,0.339137385,0.850239355,0.749491362,0.769348599,0.268075023,0.335826224,0.433386809,0.602076748,0.621149304,0.696528046,0.463308566,0.48707468
GstD1,-0.369203153,-0.633143475,-0.366745504,-0.395966642,-0.742216932,-0.81936835,-0.519341939,-0.406445437,-0.309395176,-0.31211515,-0.547025097,-0.625355539
TM4SF,-0.624532343,-0.466396785,-0.449414498,-0.294154766,-1.048591248,-1.097548185,-0.690893678,-0.566634558,-0.627159311,-0.519755562,-0.853449041,-0.771667676
,#VALUE!,#VALUE!,1.163756333,1.222989986,0.404467197,0.450063094,1.693051993,1.725828392,1.499680087,1.01649632,0.599603448,0.314406508
sesB,-0.089037139,-0.005376833,-0.686545161,-0.677910332,-0.892017597,-0.984816466,0.09936254,0.273217473,-0.433973979,-0.448272362,-0.69712533,-0.849596299
