Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
,-0.396935117,-0.613343538,-0.247696701,-0.214625219,-0.487945084,-0.545676686,-0.454229274,#VALUE!,#VALUE!,-0.79841632
eas,-1.394259154,-1.143245319,-0.817282281,-1.636795274,-1.118257082,-0.993091631,-1.114847378,-0.456365545,#VALUE!,-0.7884395
SelR,-0.41188625,#VALUE!,-0.641018676,#VALUE!,-0.399083272,#VALUE!,-0.378156764,-0.583419642,#VALUE!,-0.779595745
JhI-26,#VALUE!,-0.348004621,-0.882092225,#VALUE!,#VALUE!,#VALUE!,-0.881906111,#VALUE!,-1.01689147,-0.761408773
EG:100G10.7,-0.522985895,0.716683672,-0.413903025,-0.333879697,-0.034337599,-0.334152479,-0.40333196,0.425888934,#VALUE!,-0.750639615
Gtp-bp,-1.883741719,-1.300803755,-0.216602019,-0.757745063,-1.486610322,-0.745309216,-0.605595615,-0.286884899,-0.687125755,-0.748505092
,-1.255218894,-1.215981883,-0.736629005,-0.494840763,-1.008072782,-0.392951446,-0.537130996,-0.191903311,#VALUE!,-0.711228033
CG13601,#VALUE!,0.36120689,#VALUE!,-0.251143797,#VALUE!,#VALUE!,-0.492403229,-0.38381171,-1.105380106,-0.707312471
Bap55,-0.916970491,-0.756989055,-0.510724255,#VALUE!,-1.144488623,-0.591570728,-0.408703566,-0.29702337,#VALUE!,-0.696306912
wuho,-1.566057758,#VALUE!,-1.164366919,#VALUE!,#VALUE!,#VALUE!,-1.304326821,#VALUE!,#VALUE!,-0.690916968
bsk,-0.501463175,-0.795233249,-0.378850696,-0.702209909,-0.738168341,0.343692069,0.929563784,-0.080179417,#VALUE!,-0.685755928
Rap2l,-0.769501836,-1.034367149,-0.176511489,-0.379713889,-0.099478997,#VALUE!,-0.428488218,-0.540505429,#VALUE!,-0.641783805
CG10306,-0.7868705,-1.360156616,-1.051518759,-0.117427375,-1.256562587,#VALUE!,-0.531990226,0.058385771,#VALUE!,-0.636548543
Aats-gln,-1.565289049,-1.716907942,-1.773836772,-1.819342892,-2.227151538,-0.414729757,-1.169582402,-0.967024634,#VALUE!,-0.628898412
