Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
CG3362,0.57267,#DIV/0!,#DIV/0!,0.85958,#DIV/0!,0.907295,1.4453,#DIV/0!
mRpS17,0.49987,0.68009,0.43316,0.60735,#DIV/0!,0.35242,#DIV/0!,#DIV/0!
CG4065,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
gek,0.20969,#DIV/0!,0.25197,0.38762,#DIV/0!,0.111221,#DIV/0!,0.30555
,#DIV/0!,#DIV/0!,3.4573,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Fmo-1,0.85426,0.44297,#DIV/0!,0.57886,#DIV/0!,1.03084,0.625915,0.546575
CG16787-RA,1.1847,1.2088,#DIV/0!,1.1435,#DIV/0!,1.3329,1.3095,1.2208
thoc5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,1.8197,#DIV/0!,#DIV/0!,#DIV/0!,1.35215,#DIV/0!,#DIV/0!
egl,#DIV/0!,#DIV/0!,0.5856,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpL43,0.492395,0.96551,0.681355,1.3838,#DIV/0!,0.6039,1.099925,#DIV/0!
Pal2,2.4264,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.0133
St1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
wmd,0.203935,#DIV/0!,0.583395,#DIV/0!,#DIV/0!,0.31307,#DIV/0!,#DIV/0!
yellow-d2,#DIV/0!,#DIV/0!,0.56348,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
yellow-d,#DIV/0!,2.2677,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.390845,#DIV/0!,0.44717,0.31965,#DIV/0!,0.27739,0.583215,0.30378
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
l(2)06496,0.690295,0.88526,#DIV/0!,1.0788,0.97739,0.54712,0.863095,#DIV/0!
,1.4788,1.6212,#DIV/0!,1.6969,#DIV/0!,1.49,#DIV/0!,1.4981
Nup214,#DIV/0!,#DIV/0!,#DIV/0!,0.6497,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gmer,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
asrij,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.5304,#DIV/0!
CG3501,1.148895,1.7903,0.71877,#DIV/0!,#DIV/0!,3.14145,#DIV/0!,2.86615
Cyp6d2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.16236
Ugt58Fa,0.80447,#DIV/0!,0.57747,#DIV/0!,#DIV/0!,0.59792,2.2669,1.3398
CG4752-RA,0.393075,0.3388,0.40403,0.26864,#DIV/0!,0.43256,#DIV/0!,0.41513
mRpS29,0.37657,0.697605,0.335435,0.77302,#DIV/0!,0.40881,0.77727,0.93446
qkr58E-2,0.595145,1.34575,0.779665,1.7094,#DIV/0!,0.56046,1.31235,1.4589
,1.011055,0.8769,1.25409,1.1375,#DIV/0!,0.849385,1.0309,0.92591
Rtf1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.40225,#DIV/0!,#DIV/0!
T3dh,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GM130,0.446275,#DIV/0!,2.3952,#DIV/0!,#DIV/0!,2.53653,#DIV/0!,0.60077
,#DIV/0!,#DIV/0!,1.1274,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
lox2,#DIV/0!,0.44433,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rae1,1.0391,#DIV/0!,#DIV/0!,#DIV/0!,0.45333,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Acox57D-p,5.914,#DIV/0!,5.3662,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG34396-RC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.31514,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpL54,#DIV/0!,#DIV/0!,0.31559,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG15653-RA,1.7572,1.3612,#DIV/0!,#DIV/0!,#DIV/0!,1.4423,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
dgt3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.63344,#DIV/0!,#DIV/0!
Rx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
sktl,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
nocte,0.626605,0.76233,0.60768,0.57238,#DIV/0!,0.36704,#DIV/0!,0.66333
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG2974,#DIV/0!,#DIV/0!,#DIV/0!,1.2557,1.2858,#DIV/0!,#DIV/0!,0.72708
Cht6,0.87881,#DIV/0!,0.683825,#DIV/0!,#DIV/0!,0.69945,#DIV/0!,#DIV/0!
,0.62056,#DIV/0!,#DIV/0!,0.66725,#DIV/0!,0.7088,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG3004,0.44252,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gga,#DIV/0!,#DIV/0!,0.54248,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.90182,0.58821,0.56252,#DIV/0!,#DIV/0!,#DIV/0!
c12.2,#DIV/0!,#DIV/0!,#DIV/0!,0.46908,#DIV/0!,#DIV/0!,0.35805,0.46894
ric8a,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.36576,#DIV/0!,#DIV/0!
,0.641825,#DIV/0!,0.59179,#DIV/0!,#DIV/0!,0.697995,#DIV/0!,#DIV/0!
CG12056,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Zpr1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
dalao,0.57721,1.05856,#DIV/0!,0.97071,#DIV/0!,0.56343,#DIV/0!,#DIV/0!
l(1)G0020,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hexo2,0.504765,0.74501,0.51617,1.41033,#DIV/0!,0.48524,0.8188,1.240145
Crag,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.27061,#DIV/0!,#DIV/0!
CG12125-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.686755,1.443,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.33915,#DIV/0!,0.34902,#DIV/0!,#DIV/0!,#DIV/0!,0.37516,0.423355
GIIIspla2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.60815,0.681865,0.65179,0.808685,#DIV/0!,0.55968,0.26531,#DIV/0!
,1.1744,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.34944,0.67808,1.06741,#DIV/0!,#DIV/0!,0.268255,0.41651,0.51185
p115,0.21771,#DIV/0!,0.19306,#DIV/0!,#DIV/0!,0.2771,#DIV/0!,0.62172
,1.4932,0.959315,#DIV/0!,0.95323,#DIV/0!,2.16675,0.93704,0.78072
CG1677-RA,#DIV/0!,#DIV/0!,0.53992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4593-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG32736,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
bou,1.1317,#DIV/0!,#DIV/0!,1.0551,#DIV/0!,#DIV/0!,#DIV/0!,1.1056
,0.53546,#DIV/0!,0.74644,#DIV/0!,#DIV/0!,0.452775,0.588055,0.591825
,0.77458,#DIV/0!,0.72143,#DIV/0!,#DIV/0!,0.92016,#DIV/0!,#DIV/0!
CG12542,1.14722,#DIV/0!,0.49731,#DIV/0!,#DIV/0!,0.63373,#DIV/0!,#DIV/0!
,#DIV/0!,0.72633,#DIV/0!,0.80746,0.67143,#DIV/0!,0.801355,0.81195
COQ7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Spt6,#DIV/0!,#DIV/0!,1.8793,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
schlank,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Spx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
raptor,1.8145,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4666,0.76461,1.1602,0.36955,#DIV/0!,#DIV/0!,0.66229,1.1274,1.30088
Tsp5D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,1.0234,#DIV/0!,0.83375,#DIV/0!,#DIV/0!,0.803525,1.42495
,0.27348,0.74953,0.584285,#DIV/0!,#DIV/0!,0.33023,#DIV/0!,#DIV/0!
,0.33454,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.60148,#DIV/0!,#DIV/0!
lin-52,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
NAAT1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG3556,1.117,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.98933,1.3303,#DIV/0!
,0.454645,0.17676,0.36332,0.29323,#DIV/0!,0.287347,0.259205,0.49051
mRpL33,0.592155,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.449695,#DIV/0!,2.19385
CG6133,#DIV/0!,#DIV/0!,0.171825,#DIV/0!,#DIV/0!,0.15709,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG2930-RA,2.0122,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.24437,0.36691,0.31797,0.395195,0.4766,0.434975,0.326965,#DIV/0!
dnc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.67777,0.4461
mRpL14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
l(1)G0144,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.35116,0.513785,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.17639
Mct1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-epsilon,0.33646,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mip130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpL16,0.199375,#DIV/0!,0.24231,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG14805-RA,#DIV/0!,#DIV/0!,0.77321,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG14817-RA,#DIV/0!,#DIV/0!,#DIV/0!,2.3564,#DIV/0!,0.63321,#DIV/0!,#DIV/0!
EG:BACN32G11.3,0.34389,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG14770-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
EG:103E12.2,0.30117,0.532945,0.270115,#DIV/0!,0.51319,0.2584,0.912775,#DIV/0!
TRAM,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Roc1a,0.51079,#DIV/0!,0.77323,#DIV/0!,#DIV/0!,0.60032,#DIV/0!,#DIV/0!
l(1)1Bi,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.8473,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.3697,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.36044,0.31319,0.28311,2.844765,#DIV/0!,0.31628,2.9563,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG9572-RA,#DIV/0!,#DIV/0!,#DIV/0!,0.45027,#DIV/0!,#DIV/0!,#DIV/0!,0.4137
Nep3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.2705,0.68596
sec10,#DIV/0!,#DIV/0!,1.5554,#DIV/0!,#DIV/0!,#DIV/0!,0.49322,#DIV/0!
pic,2.275045,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.270855,#DIV/0!,0.241065
Vha100-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ublcp1,0.33735,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.82852,#DIV/0!
,1.4341,0.43957,2.4826,#DIV/0!,#DIV/0!,3.32195,#DIV/0!,4.7609
snama,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thor,#DIV/0!,#DIV/0!,1.5503,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
sra,#DIV/0!,#DIV/0!,0.38768,#DIV/0!,#DIV/0!,#DIV/0!,1.07923,#DIV/0!
Cas,0.48914,#DIV/0!,0.27081,#DIV/0!,#DIV/0!,0.52082,#DIV/0!,#DIV/0!
fl(2)d,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Abi,0.844795,0.641345,0.581715,0.73824,#DIV/0!,0.475715,0.61678,0.723395
Tim9b,#DIV/0!,#DIV/0!,1.6907,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
epsilonCOP,0.476255,0.74932,0.84319,0.84366,#DIV/0!,0.475925,0.856905,0.647415
Madm,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BcDNA.GH10229,1.2887,1.0748,1.34425,0.966625,#DIV/0!,1.556,0.99801,1.1159
CG3149,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
cert,0.27877,0.32606,0.2525,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.46811
l(2)35Df,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG7601,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.81644
BcDNA.GH04978,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
obst-B,#DIV/0!,#DIV/0!,9.2441,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
vav;Vav,2.2624,0.27499,1.4697,1.2299,0.18322,#DIV/0!,0.60241,4.31468
MAPk-Ak2,0.84018,0.91253,1.28835,0.536505,0.341,0.65203,0.331415,2.4075
Arp66B,0.24518,0.3228,0.24483,#DIV/0!,0.286625,0.811715,#DIV/0!,2.1766
MRP,0.28091,0.27224,0.37182,0.252655,0.322235,0.340785,0.40641,1.535115
PGRP-SB1,0.650535,0.18974,#DIV/0!,0.37399,0.1768695,0.63219,0.46256,0.414915
Ide,0.173815,0.287425,2.228945,0.25356,0.223635,0.30872,0.24751,0.76844
,11.496,1.13375,10.4049,1.02675,0.2083,19.603,3.3074,0.98675
Epac,#DIV/0!,#DIV/0!,0.2911,0.23823,0.174595,#DIV/0!,0.16271,0.52848
mmd,#DIV/0!,0.67255,0.37459,0.348345,0.19402,#DIV/0!,0.35732,0.40446
Cyp313a1,1.353215,0.2052,0.407725,0.3282,0.465705,0.590205,0.35263,1.20011
pod1,0.341985,0.046622,0.320315,0.24202,0.13747,0.181685,1.8226,0.4888
,0.252035,1.88925,0.2161,3.6288,8.6242,0.249325,5.03375,15.387
AIF,0.27754,0.28252,0.55391,0.93407,0.23002,0.292865,0.594175,0.53667
,#DIV/0!,4.2164,1.5091,3.9517,1.20685,#DIV/0!,3.4205,2.70926
emb,0.28742,0.38759,2.18738,0.30091,0.15068,0.22475,0.641365,0.43405
Dlic,0.3133,0.38508,0.468515,0.344955,0.360795,0.381825,0.39012,0.784275
rdgA,0.0967745,0.0771265,0.21338,0.1225255,0.0523415,0.172265,0.0895685,0.138085
ScpX,0.835115,1.45245,0.49885,1.2003,0.509355,0.789065,0.922235,0.882825
,0.326755,0.355025,0.273695,0.457405,0.34427,0.27605,0.349765,0.8934
AttC,0.24881,0.175035,#DIV/0!,0.298705,0.14301,#DIV/0!,0.14838,0.398255
brm,0.38784,#DIV/0!,0.34419,0.63873,0.37894,0.50414,2.6074,1.5888
l(2)gl,0.28088,0.49079,0.49667,0.50043,0.23224,0.391975,0.45806,0.65401
Aats-ile,0.23264,0.149615,0.242775,0.246695,0.267545,0.20324,0.500155,0.379035
SPoCk,0.22497,0.22546,0.669835,0.38109,0.309825,0.271475,0.5502,0.422825
unc-104,0.20226,0.1484,0.34516,0.25092,0.375385,0.543275,0.735835,0.52077
mor,0.527925,0.56599,0.45852,0.761865,0.54498,0.419385,0.62076,1.12115
Cpr50Cb,1.03368,2.42415,0.773385,1.8585,1.6622,0.89641,1.6083,3.2871
,1.3315,1.62095,1.2282,1.08885,0.8232,1.5524,1.3264,1.8399
Hsp22,0.466505,#DIV/0!,0.13195,#DIV/0!,0.1270205,0.087572,#DIV/0!,0.36611
Ih,#DIV/0!,0.41271,#DIV/0!,#DIV/0!,0.19641,0.26181,0.60776,0.51955
,0.99815,0.84493,1.4441,1.02994,0.78366,1.2598,0.82072,1.42805
lectin-28C,1.1014,0.84837,0.98917,0.3897,0.21251,1.14095,0.672475,0.5347
l(2)k14710,0.35667,0.28056,1.89925,0.440375,0.23542,#DIV/0!,0.25766,0.392595
,0.750715,0.652325,0.58943,0.9341,0.463315,1.0024,0.58965,0.975005
AttB;AttA,#DIV/0!,0.273255,#DIV/0!,0.478295,0.067188,#DIV/0!,0.27788,0.17255
CG8475,#DIV/0!,0.289995,0.48013,0.35753,0.332095,#DIV/0!,0.44778,0.56802
betaTub60D,0.19958,0.43122,0.174485,0.35253,0.26106,0.165855,0.420865,0.270455
Gfat2,0.31291,0.21349,0.437575,0.21607,0.17542,0.186305,0.22829,0.274865
FKBP59,0.25383,0.526645,0.27381,0.674925,0.47996,0.2876,0.678205,0.8848
jbug,0.387285,0.416325,0.17154,0.383525,0.19613,0.45448,0.444525,0.37203
Pect,0.518215,0.597885,0.32959,0.40782,0.368125,1.64105,0.46253,0.59817
bgm,0.82415,0.358955,#DIV/0!,0.338855,0.50415,#DIV/0!,0.27626,0.888975
Ugt36Bc,1.26846,0.755,1.217145,0.81134,0.80998,1.0961,#DIV/0!,1.22615
Papss,0.506345,0.860335,0.492365,0.8766,0.646375,0.584255,0.601335,0.941745
NitFhit,0.925415,0.44596,0.97844,0.767465,0.3355,1.07795,0.46092,0.578585
Hsp27,0.38581,2.10765,0.347235,3.1592,3.1734,0.35292,4.0364,6.90615
bbc,0.910335,#DIV/0!,#DIV/0!,#DIV/0!,0.311205,1.3052,0.43157,0.67
Fbp2,0.21726,1.5402,0.16893,2.9722,2.73045,0.1509875,3.81495,5.86085
sdt,0.246425,0.281185,0.37156,0.376095,0.255965,#DIV/0!,0.43313,0.301135
,0.97226,0.39889,#DIV/0!,0.423295,0.1996,#DIV/0!,0.501685,0.431175
Nsf2,0.8283,0.447155,0.37424,0.455135,0.25409,0.3388,0.373265,0.477395
,1.6049,2.06615,1.5792,1.89815,1.004735,1.5976,2.0141,1.63745
,0.382,0.43012,0.70159,0.421065,0.2937,0.28761,0.33576,0.445285
Fmr1,0.360635,1.064185,0.478095,1.226585,1.27749,0.382195,0.7701,1.33735
Fbp1,0.98813,2.37315,1.27565,5.6078,4.2769,0.44777,5.359,7.8035
,0.239495,0.20442,0.64171,0.218805,0.268475,0.648255,0.19108,0.350085
Gal,0.628725,2.5894,1.487775,2.3346,1.6307,0.546195,2.01655,2.936
Dab,0.46267,0.6718,0.56837,0.561275,0.59485,0.400535,0.862825,0.90616
Drep-2,0.293285,0.28781,0.28283,0.38506,0.290065,0.24184,0.3649,0.357865
AGO2,0.341435,0.347565,0.754125,0.441385,0.145825,0.37329,0.19341,0.27537
CG1665-RA,2.31085,2.3573,1.06109,0.88567,0.961695,2.35,2.17665,1.60715
Gint3,3.449465,0.54468,0.70223,0.52615,2.552525,4.069805,6.47925,0.645915
,1.81715,1.80985,1.27525,1.55465,0.93442,1.4785,1.8267,1.67815
Lsp1alpha,0.699225,2.5734,0.836365,4.276,3.94055,0.285045,4.6027,7.92685
Hrd3,1.33625,1.7646,1.17615,1.79675,1.5402,1.21935,#DIV/0!,2.06385
Liprin-alpha,0.489335,0.3727,0.459025,0.565,0.41206,0.336365,0.45885,0.49038
Obp56g,2.51895,0.67468,2.201,1.18815,0.696095,3.09465,0.98983,1.26215
Osbp,0.342765,0.625295,0.40722,0.291455,0.227685,0.396425,0.637015,0.387715
Pvr,0.22153,0.31689,0.333865,0.314705,0.195275,0.2133,0.296415,0.274765
qm,0.558155,0.7858,0.894655,0.78757,0.62587,0.50827,0.91061,0.90792
dock,0.29408,0.62267,0.5229,0.47023,0.3915,0.42926,#DIV/0!,0.70004
,1.120065,1.145445,1.099725,0.97942,1.111725,0.65956,1.2746,1.4698
Aats-asp,0.312015,0.415285,0.301715,0.477715,0.376815,0.318285,0.970675,0.564905
,0.16491,0.094817,0.18242,0.0720655,0.039159,0.15443,0.0768135,0.067422
PIP5K59B,0.30521,0.75109,0.61993,0.28141,0.19435,0.662405,0.315185,0.42428
Scp1,1.5457,0.84641,1.33515,0.819645,0.81171,1.5645,1.2184,1.44535
CG10361-RA,1.3007,1.570345,1.02289,0.4605,0.42802,1.1132,0.48669,0.57
CG17493,0.937195,0.98832,#DIV/0!,1.316,0.69861,0.901855,#DIV/0!,0.948415
CG5110,1.052,0.99122,#DIV/0!,1.394,0.69972,0.66271,1.06095,0.93101
Cpr51A,1.11755,1.807,0.88263,1.5801,1.5378,1.002765,1.7435,2.3396
,0.53762,0.63674,#DIV/0!,0.481775,0.21783,0.54272,0.78318,0.395595
Src42A,0.318185,0.34789,0.254385,0.317415,0.25267,0.231855,0.3881,0.33504
,0.34794,0.291415,0.434695,0.324435,0.21085,0.43544,0.297385,0.29092
,0.453575,1.3933,1.07907,1.24406,0.72527,0.48608,1.5141,1.19185
