Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
BM-40-SPARC,#DIV/0!,1.0914,0.63943,1.3745,1.3969,0.81262,0.91035,1.05837
Ntf-2,2.92625,2.8723,2.29815,2.57905,1.3982,2.1222,2.75995,2.74505
CG18812-RA;CG18812,1.1882,1.2303,3.6211,0.87787,1.3076,#DIV/0!,0.984315,1.1001
CG5706,0.285965,0.4035,0.31566,1.1694,1.441,0.278545,0.52365,0.345775
Cpr30B,0.413885,1.79925,0.079512,1.3062,1.4482,0.091201,1.55245,1.92655
NHP2,0.708645,1.05205,0.72672,1.7713,1.455,0.746975,1.47025,1.01983
,2.1309,1.8427,2.19825,1.5617,1.5018,1.98305,1.8775,1.48015
CG33054-RB,1.80255,1.1358,1.3525,0.958825,1.512,1.86825,1.04933,1.22575
,1.4403,2.5322,1.3647,1.8958,1.5566,1.18154,1.556915,1.5342
Lsd-1,0.45338,0.548205,0.29447,0.546925,1.5637,0.33114,0.630705,1.0163
bun,1.2002,#DIV/0!,0.91846,1.58375,1.5858,1.15595,1.55935,1.6734
,0.659355,1.3007,0.76724,1.05216,1.6408,0.786545,1.37905,1.32875
Fdxh,#DIV/0!,6.74965,#DIV/0!,2.58355,1.6472,4.7294,#DIV/0!,3.62055
CG9917-RA,2.09365,2.25765,1.52575,2.2842,1.6503,1.48105,1.79355,1.9284
Bet5,1.9876,1.4596,#DIV/0!,#DIV/0!,1.6704,#DIV/0!,1.49135,1.4705
Nup58,0.90439,1.1456,#DIV/0!,#DIV/0!,1.6941,1.35215,#DIV/0!,1.1904
Csp,2.14505,2.15575,3.83935,2.12735,1.7505,3.8083,2.56105,1.68155
,2.388,2.46905,2.6814,2.70015,1.7873,2.00975,2.1573,2.0574
,1.808,0.72163,#DIV/0!,0.68985,1.8386,2.9926,0.739995,0.85363
,0.662905,1.37855,0.53166,1.5392,1.8949,0.54322,3.7589,1.4469
Mmp1,0.413655,#DIV/0!,0.40629,#DIV/0!,1.906,0.593485,1.4172,0.91769
